label,split,ATS0Z,ATSC2are,RNCG,PEOE_VSA5,PEOE_VSA6
0,Train,991.0,0.3986324786324776,0.20397861661348993,0.0,48.55024262443742
0,Train,1310.0,-0.6951801652892542,0.21460758404864216,0.0,74.51114508399735
0,Train,1261.0,-1.093556148148149,0.1956269352499536,0.0,18.19910120538483
0,Train,1228.0,0.9151937499999988,0.19759341744036457,0.0,50.19334313004376
0,Train,1538.0,3.6104944969544333,0.10829568092612785,12.343784214475903,6.076020106833881
0,Train,1366.0,-0.5622141274238222,0.2099913832603143,0.0,28.889386753906276
0,Train,3090.0,5.738316412813334,0.0696371981152367,0.0,89.93191753354276
0,Train,2938.0,0.04301962809917151,0.506377077810514,0.0,43.99262193282192
0,Train,1351.0,3.6092622037550033,0.12338223229765224,0.0,6.076020106833881
0,Train,1231.0,-0.34009999999999696,0.3260137826528894,11.761884949391115,12.217873443046695
1,Train,4132.0,7.88764032123737,0.03535922370596851,0.0,112.88761379925326
0,Train,2220.0,1.7016353339489139,0.07975928047868736,0.0,62.0814889024737
0,Train,1365.0,-0.5672539504132158,0.2067337786661047,0.0,12.13273413692322
1,Train,3904.0,7.540016308730592,0.03647049893314429,0.0,74.36268406169714
0,Train,1315.0,-0.34677039088949946,0.19242839952929294,0.0,30.33183534230805
0,Train,1097.0,0.5766428571428672,0.17460450375777586,0.0,60.160755107851486
0,Train,1862.0,0.7459934911242596,0.2720801814325996,0.0,15.929943897949348
0,Train,794.0,0.1942382271468132,0.29706572135243836,13.157871367196995,24.284774350590983
0,Train,999.0,-0.5416422437673148,0.36139203699226574,11.336785877934737,36.39820241076966
0,Train,1243.0,6.849672959999996,0.14438642727536133,0.0,6.923737199690624
1,Train,1481.0,7.279131000000007,0.18811578506506366,0.0,41.96165390246666
0,Train,2777.0,3.331851164537939,0.08228205867031181,5.098681808301038,56.6420079215731
0,Train,1242.0,-0.385365752066108,0.18267517251879578,0.0,66.2271221763131
1,Train,1192.0,0.9272547097270285,0.12251411646813277,0.0,31.917420659210403
1,Train,1656.0,6.291553485952131,0.15011570982254172,0.0,23.20187978046503
1,Train,2651.0,2.526998999692216,0.09782073067557441,23.43950244129065,63.24982227509767
0,Train,2700.0,-0.6330619094650076,0.11607740290313233,9.780484743446223,30.336223500730323
1,Train,1986.0,2.6697601332199627,0.1487283110477045,16.776299300200574,57.6655879919107
0,Train,1318.0,2.218684555785124,0.1565741367432778,11.761884949391115,0.0
